Lead ID,First Name,Last Name,Email,Phone,Location,Group Name,Group URL,Member Count,Category,Engagement Score,Lead Score,Interests,Last Active,Extracted Date
lead_1755462319551_10,"Hannah","Schwartz",hannah.schwartz@aol.com,+1-941-663-9337,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",40,36,"Cooking",2024-03-12T05:27:45.347Z,2025-08-17T20:25:19.551Z
lead_1755462319551_11,"Benjamin","Cohen",benjamin.cohen@gmail.com,+1-850-362-5604,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",9,61,"Food Reviews",2025-01-26T13:33:21.045Z,2025-08-17T20:25:19.551Z
lead_1755462319551_12,"Aaron","Roth",aaron.roth@yahoo.com,+1-941-352-9091,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",66,18,"Jewish Cuisine; Restaurants",2024-08-29T22:50:47.899Z,2025-08-17T20:25:19.551Z
lead_1755462319551_13,"Joshua","Miller",joshua.miller@hotmail.com,+1-954-977-2376,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",57,76,"Cooking",2024-02-19T13:15:53.622Z,2025-08-17T20:25:19.551Z
lead_1755462319551_14,"Jonathan","Cohen",jonathan.cohen@yahoo.com,+1-239-200-7953,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",68,92,"Kosher Food; Jewish Cuisine; Food Reviews",2024-10-21T00:45:30.489Z,2025-08-17T20:25:19.551Z
lead_1755462319551_15,"Leah","Levy",leah.levy@gmail.com,+1-305-117-1855,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",8,20,"Jewish Cuisine; Restaurants",2025-05-19T03:48:52.214Z,2025-08-17T20:25:19.551Z
lead_1755462319551_16,"Joseph","Goldman",joseph.goldman@yahoo.com,+1-954-891-7769,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",97,99,"Cooking; Restaurants; Food Reviews",2025-04-24T15:06:56.637Z,2025-08-17T20:25:19.551Z
lead_1755462319551_17,"Benjamin","Berger",benjamin.berger@outlook.com,+1-850-538-3423,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",6,3,"Kosher Food; Food Reviews; Cooking",2024-09-17T10:26:04.329Z,2025-08-17T20:25:19.551Z
lead_1755462319551_18,"Sarah","Katz",sarah.katz@gmail.com,+1-863-129-8291,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",79,52,"Food Reviews",2025-01-14T15:10:18.846Z,2025-08-17T20:25:19.551Z
lead_1755462319551_19,"Jonathan","Levy",jonathan.levy@gmail.com,+1-305-945-7462,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",35,12,"Cooking",2025-03-23T01:01:05.325Z,2025-08-17T20:25:19.551Z
lead_1755462319551_20,"Rebecca","Weiss",rebecca.weiss@aol.com,+1-239-161-9600,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",71,84,"Cooking",2024-10-26T10:06:03.688Z,2025-08-17T20:25:19.551Z
lead_1755462319551_21,"Jonathan","Cohen",jonathan.cohen@hotmail.com,+1-561-168-5327,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",42,88,"Kosher Food; Restaurants",2024-10-12T11:24:15.754Z,2025-08-17T20:25:19.552Z
lead_1755462319552_22,"Esther","Berger",esther.berger@outlook.com,+1-305-679-8156,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",37,83,"Cooking; Food Reviews",2024-10-01T11:55:54.662Z,2025-08-17T20:25:19.552Z
lead_1755462319552_23,"Daniel","Roth",daniel.roth@aol.com,+1-941-181-3344,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",9,88,"Jewish Cuisine",2025-03-02T17:39:32.205Z,2025-08-17T20:25:19.552Z
lead_1755462319552_24,"Samuel","Davis",samuel.davis@yahoo.com,+1-954-281-7491,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",34,91,"Food Reviews; Restaurants; Kosher Food",2025-04-24T19:41:07.241Z,2025-08-17T20:25:19.552Z
lead_1755462319552_25,"Esther","Weiss",esther.weiss@gmail.com,+1-561-334-1815,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",30,59,"Cooking",2025-04-01T22:17:39.467Z,2025-08-17T20:25:19.552Z
lead_1755462319552_26,"Esther","Davis",esther.davis@outlook.com,+1-954-715-6022,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",95,10,"Kosher Food; Jewish Cuisine",2025-04-23T09:46:00.263Z,2025-08-17T20:25:19.552Z
lead_1755462319552_27,"Joseph","Miller",joseph.miller@yahoo.com,+1-954-912-3958,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",52,33,"Restaurants; Jewish Cuisine; Food Reviews",2024-10-06T17:07:43.953Z,2025-08-17T20:25:19.552Z
lead_1755462319552_28,"Jonathan","Weiss",jonathan.weiss@aol.com,+1-786-671-2178,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",63,38,"Jewish Cuisine",2024-01-01T11:46:53.130Z,2025-08-17T20:25:19.552Z
lead_1755462319552_29,"Samuel","Berger",samuel.berger@hotmail.com,+1-941-449-2568,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",27,79,"Food Reviews; Cooking",2025-04-05T04:35:01.842Z,2025-08-17T20:25:19.552Z
lead_1755462319552_30,"Hannah","Stein",hannah.stein@gmail.com,+1-754-116-9611,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",4,63,"Food Reviews; Kosher Food; Jewish Cuisine",2025-02-01T23:53:09.136Z,2025-08-17T20:25:19.552Z
lead_1755462319552_31,"David","Roth",david.roth@aol.com,+1-239-601-9563,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",91,65,"Cooking",2025-06-07T22:39:51.509Z,2025-08-17T20:25:19.552Z
lead_1755462319552_32,"Leah","Cohen",leah.cohen@gmail.com,+1-561-484-1997,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",55,63,"Food Reviews; Jewish Cuisine; Restaurants",2024-09-10T19:47:24.334Z,2025-08-17T20:25:19.552Z
lead_1755462319552_33,"Sarah","Rosenberg",sarah.rosenberg@aol.com,+1-754-172-9972,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",15,48,"Kosher Food; Cooking",2025-07-22T11:33:27.763Z,2025-08-17T20:25:19.552Z
lead_1755462319552_34,"Ruth","Goldberg",ruth.goldberg@hotmail.com,+1-954-509-2969,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",48,79,"Jewish Cuisine; Food Reviews; Kosher Food",2025-05-26T11:03:53.860Z,2025-08-17T20:25:19.552Z
lead_1755462319552_35,"Aaron","Greenberg",aaron.greenberg@yahoo.com,+1-863-883-9212,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",8,48,"Cooking; Food Reviews",2025-02-17T07:57:56.092Z,2025-08-17T20:25:19.552Z
lead_1755462319552_36,"Benjamin","Weinstein",benjamin.weinstein@yahoo.com,+1-561-370-7531,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",48,84,"Cooking; Kosher Food",2025-07-18T17:56:31.090Z,2025-08-17T20:25:19.552Z
lead_1755462319552_37,"Benjamin","Cohen",benjamin.cohen@yahoo.com,+1-863-125-6529,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",6,83,"Jewish Cuisine; Food Reviews",2024-04-23T06:02:19.505Z,2025-08-17T20:25:19.552Z
lead_1755462319552_38,"Naomi","Goldman",naomi.goldman@hotmail.com,+1-754-412-6609,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",97,99,"Cooking",2024-06-28T05:09:38.936Z,2025-08-17T20:25:19.552Z
lead_1755462319552_39,"Deborah","Shapiro",deborah.shapiro@aol.com,+1-786-963-7587,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",36,50,"Restaurants",2024-03-13T00:48:02.193Z,2025-08-17T20:25:19.552Z
lead_1755462319552_40,"Deborah","Silver",deborah.silver@outlook.com,+1-754-360-5982,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",25,99,"Jewish Cuisine; Food Reviews; Restaurants",2025-05-23T08:38:00.420Z,2025-08-17T20:25:19.552Z
lead_1755462319552_41,"Joseph","Miller",joseph.miller@yahoo.com,+1-850-407-7835,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",14,69,"Cooking",2025-05-01T02:28:36.828Z,2025-08-17T20:25:19.552Z
lead_1755462319552_42,"Naomi","Stein",naomi.stein@gmail.com,+1-239-763-5792,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",87,81,"Restaurants; Food Reviews",2025-04-22T21:38:20.262Z,2025-08-17T20:25:19.552Z
lead_1755462319552_43,"Rachel","Shapiro",rachel.shapiro@yahoo.com,+1-754-522-1310,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",46,67,"Restaurants; Cooking; Kosher Food",2025-02-22T06:32:52.779Z,2025-08-17T20:25:19.552Z
lead_1755462319552_44,"Samuel","Silver",samuel.silver@hotmail.com,+1-954-384-6896,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",83,26,"Jewish Cuisine; Kosher Food; Food Reviews",2025-06-04T22:38:12.470Z,2025-08-17T20:25:19.552Z
lead_1755462319552_45,"Rebecca","Stein",rebecca.stein@yahoo.com,+1-754-186-6443,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",51,54,"Cooking",2024-09-24T21:58:15.196Z,2025-08-17T20:25:19.552Z
lead_1755462319552_46,"Aaron","Katz",aaron.katz@outlook.com,+1-772-478-1228,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",81,39,"Kosher Food",2025-08-13T19:46:26.603Z,2025-08-17T20:25:19.552Z
lead_1755462319552_47,"Joshua","Levy",joshua.levy@hotmail.com,+1-786-691-4693,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",52,53,"Jewish Cuisine",2024-11-06T09:59:44.318Z,2025-08-17T20:25:19.552Z
lead_1755462319552_48,"Hannah","Silver",hannah.silver@yahoo.com,+1-954-777-4282,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",75,84,"Cooking",2025-05-14T00:33:56.200Z,2025-08-17T20:25:19.552Z
lead_1755462319552_49,"Rebecca","Berger",rebecca.berger@aol.com,+1-772-491-8655,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",86,68,"Food Reviews",2024-06-03T07:02:45.762Z,2025-08-17T20:25:19.552Z
lead_1755462319552_50,"Hannah","Roth",hannah.roth@gmail.com,+1-850-984-1901,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",96,54,"Restaurants; Kosher Food",2025-05-05T09:38:39.139Z,2025-08-17T20:25:19.552Z
lead_1755462319552_51,"Rachel","Weiss",rachel.weiss@hotmail.com,+1-561-116-6790,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",53,30,"Cooking; Food Reviews",2025-01-04T08:42:19.055Z,2025-08-17T20:25:19.552Z
lead_1755462319552_52,"Rachel","Gordon",rachel.gordon@hotmail.com,+1-941-961-6790,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",91,10,"Food Reviews; Cooking",2024-08-10T14:07:30.693Z,2025-08-17T20:25:19.552Z
lead_1755462319552_53,"Rebecca","Schwartz",rebecca.schwartz@hotmail.com,+1-305-672-4906,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",93,46,"Jewish Cuisine",2025-04-25T04:37:37.114Z,2025-08-17T20:25:19.552Z
lead_1755462319552_54,"Joseph","Weinstein",joseph.weinstein@yahoo.com,+1-305-318-5771,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",59,50,"Restaurants; Cooking; Jewish Cuisine",2024-11-19T22:57:53.171Z,2025-08-17T20:25:19.552Z
lead_1755462319552_55,"David","Miller",david.miller@yahoo.com,+1-850-192-2319,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",11,5,"Kosher Food",2025-08-12T20:46:00.151Z,2025-08-17T20:25:19.552Z
lead_1755462319552_56,"Rebecca","Katz",rebecca.katz@outlook.com,+1-850-742-9724,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",37,28,"Kosher Food; Cooking; Restaurants",2024-08-01T00:19:40.683Z,2025-08-17T20:25:19.552Z
lead_1755462319552_57,"Esther","Cohen",esther.cohen@outlook.com,+1-239-791-8868,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",3,94,"Kosher Food; Cooking",2024-09-28T23:55:09.929Z,2025-08-17T20:25:19.552Z
lead_1755462319552_58,"David","Greenberg",david.greenberg@outlook.com,+1-850-925-2392,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",45,64,"Kosher Food",2024-01-30T11:31:46.232Z,2025-08-17T20:25:19.552Z
lead_1755462319552_59,"Deborah","Schwartz",deborah.schwartz@yahoo.com,+1-772-465-6486,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",95,23,"Jewish Cuisine",2024-11-09T22:33:23.059Z,2025-08-17T20:25:19.552Z
lead_1755462319552_60,"Jacob","Greenberg",jacob.greenberg@aol.com,+1-863-832-4503,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",84,24,"Jewish Cuisine; Restaurants",2024-08-03T09:25:57.412Z,2025-08-17T20:25:19.552Z
lead_1755462319552_61,"Sarah","Berger",sarah.berger@yahoo.com,+1-239-615-4406,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",72,84,"Jewish Cuisine; Kosher Food; Food Reviews",2024-03-13T02:15:47.659Z,2025-08-17T20:25:19.552Z
lead_1755462319552_62,"Jonathan","Berger",jonathan.berger@yahoo.com,+1-561-986-5577,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",4,50,"Restaurants; Cooking",2024-03-10T03:07:30.814Z,2025-08-17T20:25:19.552Z
lead_1755462319552_63,"Joshua","Roth",joshua.roth@yahoo.com,+1-786-741-9204,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",43,64,"Cooking; Food Reviews",2024-05-30T12:09:13.384Z,2025-08-17T20:25:19.552Z
lead_1755462319552_64,"Rachel","Schwartz",rachel.schwartz@aol.com,+1-239-968-5658,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",60,68,"Food Reviews; Restaurants",2025-02-18T16:50:10.256Z,2025-08-17T20:25:19.552Z
lead_1755462319552_65,"Naomi","Greenberg",naomi.greenberg@hotmail.com,+1-954-738-4494,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",81,56,"Food Reviews",2024-06-30T09:02:51.646Z,2025-08-17T20:25:19.552Z
lead_1755462319552_66,"Joshua","Shapiro",joshua.shapiro@aol.com,+1-754-336-4989,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",92,17,"Kosher Food",2024-12-25T11:25:24.982Z,2025-08-17T20:25:19.552Z
lead_1755462319552_67,"Naomi","Shapiro",naomi.shapiro@aol.com,+1-772-833-9152,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",26,18,"Cooking",2025-08-15T17:30:48.887Z,2025-08-17T20:25:19.552Z
lead_1755462319552_68,"Joshua","Greenberg",joshua.greenberg@aol.com,+1-305-169-8278,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",76,49,"Cooking; Kosher Food",2025-01-15T16:50:27.066Z,2025-08-17T20:25:19.552Z
lead_1755462319552_69,"Aaron","Klein",aaron.klein@aol.com,+1-754-716-7390,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",93,3,"Food Reviews",2024-05-06T04:17:07.095Z,2025-08-17T20:25:19.552Z
lead_1755462319552_70,"Jonathan","Levy",jonathan.levy@gmail.com,+1-754-900-2107,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",54,5,"Kosher Food; Restaurants",2024-10-07T06:37:34.907Z,2025-08-17T20:25:19.552Z
lead_1755462319552_71,"Michael","Miller",michael.miller@outlook.com,+1-305-153-5455,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",47,30,"Food Reviews; Restaurants",2024-09-20T08:50:34.227Z,2025-08-17T20:25:19.552Z
lead_1755462319552_72,"Joshua","Goldman",joshua.goldman@aol.com,+1-941-622-1650,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",77,24,"Jewish Cuisine",2025-07-25T08:46:16.761Z,2025-08-17T20:25:19.552Z
lead_1755462319552_73,"Aaron","Klein",aaron.klein@outlook.com,+1-772-429-1326,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",24,87,"Kosher Food; Cooking",2025-06-25T19:16:06.821Z,2025-08-17T20:25:19.552Z
lead_1755462319552_74,"Sarah","Rosenberg",sarah.rosenberg@aol.com,+1-772-864-2188,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",21,50,"Kosher Food; Food Reviews; Restaurants",2025-05-12T07:41:57.919Z,2025-08-17T20:25:19.552Z
lead_1755462319552_75,"Joshua","Friedman",joshua.friedman@aol.com,+1-954-373-7587,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",59,31,"Jewish Cuisine",2025-03-02T09:03:20.377Z,2025-08-17T20:25:19.552Z
lead_1755462319552_76,"Joshua","Cohen",joshua.cohen@yahoo.com,+1-305-943-4354,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",100,45,"Jewish Cuisine; Cooking",2025-05-16T06:06:24.747Z,2025-08-17T20:25:19.552Z
lead_1755462319552_77,"Miriam","Davis",miriam.davis@aol.com,+1-239-761-5554,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",15,71,"Kosher Food; Food Reviews",2025-06-16T10:09:38.261Z,2025-08-17T20:25:19.552Z
lead_1755462319552_78,"Deborah","Friedman",deborah.friedman@yahoo.com,+1-305-438-6879,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",72,85,"Kosher Food; Food Reviews",2025-04-27T12:00:40.069Z,2025-08-17T20:25:19.552Z
lead_1755462319552_79,"Joshua","Silver",joshua.silver@yahoo.com,+1-561-417-9364,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",85,69,"Kosher Food; Food Reviews",2024-04-15T01:30:54.361Z,2025-08-17T20:25:19.552Z
lead_1755462319552_80,"Rebecca","Silver",rebecca.silver@gmail.com,+1-305-630-7857,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",40,11,"Food Reviews",2025-05-11T20:20:12.480Z,2025-08-17T20:25:19.552Z
lead_1755462319552_81,"Michael","Rosenberg",michael.rosenberg@yahoo.com,+1-954-122-6926,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",59,100,"Food Reviews; Jewish Cuisine",2024-01-10T11:46:22.909Z,2025-08-17T20:25:19.552Z
lead_1755462319552_82,"Aaron","Shapiro",aaron.shapiro@gmail.com,+1-772-350-2501,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",71,72,"Food Reviews",2025-06-30T15:21:50.459Z,2025-08-17T20:25:19.552Z
lead_1755462319552_83,"Miriam","Gordon",miriam.gordon@hotmail.com,+1-863-303-6152,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",78,75,"Jewish Cuisine; Kosher Food",2024-11-19T12:33:39.200Z,2025-08-17T20:25:19.552Z
lead_1755462319552_84,"Samuel","Rosenberg",samuel.rosenberg@gmail.com,+1-239-357-8079,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",32,28,"Food Reviews",2024-11-03T00:04:00.385Z,2025-08-17T20:25:19.552Z
lead_1755462319552_85,"Ruth","Cohen",ruth.cohen@outlook.com,+1-941-238-7156,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",92,93,"Kosher Food",2025-04-21T02:38:00.074Z,2025-08-17T20:25:19.552Z
lead_1755462319552_86,"Rebecca","Shapiro",rebecca.shapiro@hotmail.com,+1-561-786-4364,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",62,30,"Kosher Food; Food Reviews; Restaurants",2025-02-04T10:09:15.829Z,2025-08-17T20:25:19.552Z
lead_1755462319552_87,"David","Schwartz",david.schwartz@gmail.com,+1-954-666-3147,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",57,63,"Restaurants; Jewish Cuisine; Cooking",2025-07-17T12:05:00.164Z,2025-08-17T20:25:19.552Z
lead_1755462319552_88,"Naomi","Silver",naomi.silver@gmail.com,+1-850-773-4453,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",12,59,"Restaurants",2025-01-23T16:44:47.037Z,2025-08-17T20:25:19.552Z
lead_1755462319552_89,"Benjamin","Berger",benjamin.berger@gmail.com,+1-850-764-6940,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",66,24,"Cooking; Restaurants; Kosher Food",2025-01-21T18:44:10.680Z,2025-08-17T20:25:19.552Z
lead_1755462319552_90,"David","Friedman",david.friedman@hotmail.com,+1-954-661-3878,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",15,41,"Food Reviews",2025-07-03T17:31:35.837Z,2025-08-17T20:25:19.552Z
lead_1755462319552_91,"Benjamin","Berger",benjamin.berger@outlook.com,+1-954-962-9968,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",47,49,"Food Reviews",2025-05-09T15:53:16.735Z,2025-08-17T20:25:19.552Z
lead_1755462319552_92,"Joseph","Davis",joseph.davis@gmail.com,+1-786-381-7478,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",57,77,"Kosher Food",2024-10-23T23:19:17.749Z,2025-08-17T20:25:19.552Z
lead_1755462319552_93,"Benjamin","Stein",benjamin.stein@outlook.com,+1-954-461-7220,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",21,54,"Jewish Cuisine; Cooking",2025-06-05T03:21:56.562Z,2025-08-17T20:25:19.552Z
lead_1755462319552_94,"Sarah","Friedman",sarah.friedman@hotmail.com,+1-863-388-8748,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",49,59,"Jewish Cuisine",2024-10-21T01:15:54.055Z,2025-08-17T20:25:19.552Z
lead_1755462319552_95,"Joseph","Cohen",joseph.cohen@aol.com,+1-786-709-3700,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",10,100,"Restaurants",2025-06-27T13:05:45.956Z,2025-08-17T20:25:19.552Z
